from,to
olpe,rebu
rebu,sasa
rebu,mime
rebu,oske
rebu,takl
rebu,jaja
rebu,jodo
rebu,maad
rebu,olpe
AiAuCiDuMo,SbFi
AiAuCiDuMo,KoFi
AiAuCiDuMo,ArFrCi
AiAuCiDuMo,PiFi
DeFö,SbFi
DeFö,KoFi
DeFö,ArFrCi
DeFö,PiFi
Fi,SbFi
Fi,KoFi
Fi,ArFrCi
Fi,PiFi
CeNaDuCiEtDeLiAn,SbFi
CeNaDuCiEtDeLiAn,KoFi
CeNaDuCiEtDeLiAn,ArFrCi
CeNaDuCiEtDeLiAn,PiFi
SbFi,sasa
SbFi,mime
SbFi,oske
SbFi,takl
SbFi,jaja
SbFi,jodo
SbFi,maad
SbFi,olpe
SbFi,rebu
sasa,SbFi
mime,SbFi
oske,SbFi
takl,SbFi
jaja,SbFi
jodo,SbFi
maad,SbFi
olpe,SbFi
rebu,SbFi
KoFi,sasa
KoFi,mime
KoFi,oske
KoFi,takl
KoFi,jaja
KoFi,jodo
KoFi,maad
KoFi,olpe
KoFi,rebu
sasa,KoFi
mime,KoFi
oske,KoFi
takl,KoFi
jaja,KoFi
jodo,KoFi
maad,KoFi
olpe,KoFi
rebu,KoFi
ArFrCi,sasa
ArFrCi,mime
ArFrCi,oske
ArFrCi,takl
ArFrCi,jaja
ArFrCi,jodo
ArFrCi,maad
ArFrCi,olpe
ArFrCi,rebu
sasa,ArFrCi
mime,ArFrCi
oske,ArFrCi
takl,ArFrCi
jaja,ArFrCi
jodo,ArFrCi
maad,ArFrCi
olpe,ArFrCi
rebu,ArFrCi
PiFi,sasa
PiFi,mime
PiFi,oske
PiFi,takl
PiFi,jaja
PiFi,jodo
PiFi,maad
PiFi,olpe
PiFi,rebu
sasa,PiFi
mime,PiFi
oske,PiFi
takl,PiFi
jaja,PiFi
jodo,PiFi
maad,PiFi
olpe,PiFi
rebu,PiFi
FiPr,TheF
ElPi,TheF
Ar,TheF
ScFi,TheF
WaEn,TheF
BrFiIn,TheF
IrFiBo,TheF
edgu,TheF
yola,TheF
cede,TheF
lema,TheF
jese,TheF
edgu,yola
edgu,cede
edgu,lema
edgu,jese
yola,edgu
cede,edgu
lema,edgu
jese,edgu
yola,cede
yola,lema
yola,jese
cede,yola
lema,yola
jese,yola
cede,lema
cede,jese
lema,cede
jese,cede
lema,jese
jese,lema
BrFiIn,FiPr
BrFiIn,ElPi
BrFiIn,Ar
BrFiIn,ScFi
BrFiIn,WaEn
IrFiBo,FiPr
IrFiBo,ElPi
IrFiBo,Ar
IrFiBo,ScFi
IrFiBo,WaEn
edgu,FiPr
edgu,ElPi
edgu,Ar
edgu,ScFi
edgu,WaEn
FiPr,edgu
ElPi,edgu
Ar,edgu
ScFi,edgu
WaEn,edgu
yola,FiPr
yola,ElPi
yola,Ar
yola,ScFi
yola,WaEn
FiPr,yola
ElPi,yola
Ar,yola
ScFi,yola
WaEn,yola
cede,FiPr
cede,ElPi
cede,Ar
cede,ScFi
cede,WaEn
FiPr,cede
ElPi,cede
Ar,cede
ScFi,cede
WaEn,cede
lema,FiPr
lema,ElPi
lema,Ar
lema,ScFi
lema,WaEn
FiPr,lema
ElPi,lema
Ar,lema
ScFi,lema
WaEn,lema
jese,FiPr
jese,ElPi
jese,Ar
jese,ScFi
jese,WaEn
FiPr,jese
ElPi,jese
Ar,jese
ScFi,jese
WaEn,jese
